WIP (name),Latest WIP view,Link to proofread cell with annotation,"State (0=Red, 1=Yellow, 2=Green, 3=Proofread)",Cell number,experimenter,date,exp_num,raw_id,field,region,nucleus ID pcg,nucleus loc pcg,cell ID pcg,ID warning/error,,New IDs (last update: 202503260847),roi_id,roi_n_pixels,roi_size_um2,super (baden),group (baden),cluster (baden),cell type,RGC or AC,EyeWire 1 type (for RGCs),most recent cell ID,field_ventral_dorsal_pos_um,field_temporal_nasal_pos_um,ventral_dorsal_pos_um,temporal_nasal_pos_um
,,,2,0,Franke,2018-10-11,2,1,GCL0,RR,720575940577751704,"32653.0,23923.0,553.0",720575940573597592,,"32653.0,23923.0,583.0",720575940562051654,1,18,38.8951,On Off,12,17,OODS,RGC,"37r,v,c",,-361.4,-841.8,-316.974,-880.755
,,,2,1,Franke,2018-10-11,2,1,GCL0,RR,720575940534317101,"33159.0,22959.0,606.0",720575940572538008,,"33159.0,22959.0,661.0",720575940559683612,2,32,69.1469,On Off,34,51,OODS - V - HB9,RGC,37d,,-361.4,-841.8,-317.209,-864.952
,,,2,2,Franke,2018-10-11,2,1,GCL0,RR,720575940554891618,"33787.0,21853.0,597.0",720575940551284060,,"33787.0,21853.0,677.0",720575940579479153,3,24,51.8602,dAC,42,70,SAC,AC,,,-361.4,-841.8,-316.994,-844.25
,,,0,3,Franke,2018-10-11,2,1,GCL0,RR,720575940554657378,"34131.0,21306.0,627.0",720575940577801624,,"34131.0,21306.0,657.0",720575940563206785,4,28,60.5036,dAC,41,64,A1,AC,,,-361.4,-841.8,-317.721,-834.083
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6585570827436032,3,4,Franke,2018-10-11,2,1,GCL0,RR,720575940571117757,"34753.0,20187.0,669.0",720575940556059228,,"34753.0,20187.0,684.0",720575940547755651,5,40,86.4336,dAC,28,38,ON delayed,RGC,73,,-361.4,-841.8,-317.117,-814.936
,,,2,5,Franke,2018-10-11,2,1,GCL0,RR,720575940562610790,"33757.0,22478.0,558.0",720575940556187228,,"33757.0,22478.0,608.0",720575940556187228,6,24,51.8602,Slow On,27,37,,RGC,2aw?,,-361.4,-841.8,-318.648,-853.437
,,,2,6,Franke,2018-10-11,2,1,GCL0,RR,720575940562643558,"34769.0,21233.0,628.0",720575940553874269,,"34769.0,21233.0,678.0",720575940553874269,7,38,82.112,On Off,14,20,OFF,RGC,2i or 1ni?,,-361.4,-841.8,-322.097,-825.901
,,,2,7,Franke,2018-10-11,2,1,GCL0,RR,720575940555227789,"35359.0,20040.0,704.0",720575940562140313,,"35359.0,20040.0,739.0",720575940562140313,8,27,58.3427,Fast On,16,22,ON DS sus?,RGC,"7iv,r,d",,-361.4,-841.8,-322.364,-804.724
,,,2,8,Franke,2018-10-11,",,,",1,GCL0,RR,720575940552583180,"35922.0,19429.0,736.0",720575940558841948,"Same cell, Ca field overlap! (01)","35922.0,19429.0,811.0",720575940558841948,9,21,45.3777,Fast On,18,27,ON tr. MeRF,RGC,6sw,,-361.4,-841.8,-323.671,-797.561
,,,2,9,Franke,2018-10-11,2,1,GCL0,RR,720575940562919113,"33441.0,23770.0,537.0",720575940579273368,Same cell? (01),"33441.0,23770.0,572.0",720575940550365861,10,50,108.042,Uncertain,33,50,,RGC,3o?,,-361.4,-841.8,-326.65,-872.199
,,,2,10,Franke,2018-10-11,2,1,GCL0,RR,720575940554018442,"34155.0,21713.0,539.0",720575940552133724,,"34155.0,21713.0,614.0",720575940573472304,11,9,19.4476,dAC,42,65,,AC,,,-361.4,-841.8,-322.364,-838.697
,,,2,11,Franke,2018-10-11,2,1,GCL0,RR,720575940562919113,"33441.0,23770.0,537.0",720575940579273368,Same cell? (01),"33352.0,23818.0,628.0",720575940550365861,12,38,82.112,Uncertain,33,50,,RGC,3i or 2i?,,-361.4,-841.8,-329.95,-863.579
,,,2,12,Franke,2018-10-11,2,1,GCL0,RR,720575940549337669,"33940.0,23022.0,562.0",720575940551349340,,"33940.0,23022.0,632.0",720575940555528514,13,21,45.3777,dAC,42,70,SAC,AC,,,-361.4,-841.8,-327.38,-856.78
,,,2,13,Franke,2018-10-11,2,1,GCL0,RR,720575940573137160,"34529.0,22225.0,556.0",720575940572507544,,"34529.0,22225.0,651.0",720575940560972505,14,34,73.4686,dAC,29,74,PixON,RGC,9n,,-361.4,-841.8,-327.85,-842.103
,,,0,14,Franke,2018-10-11,2,1,GCL0,RR,720575940574202309,"35300.0,20508.0,674.0",720575940567038269,,"35300.0,20508.0,699.0",720575940560972761,15,24,51.8602,On Off,14,20,OFF vOS (JamB),RGC,2aw,,-361.4,-841.8,-325.324,-813.38
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6056611194863616,3,15,Franke,2018-10-11,2,1,GCL0,RR,720575940563998594,"33229.0,24415.0,498.0",720575940573611416,,"33229.0,24415.0,503.0",720575940560450067,16,22,47.5385,Uncertain,30,41,A1,AC,,,-361.4,-841.8,-327.991,-880.888
,,,2,16,Franke,2018-10-11,2,1,GCL0,RR,720575940573136904,"34268.0,22688.0,508.0",720575940563822177,,"34268.0,22688.0,528.0",720575940563849127,17,19,41.056,Uncertain,33,50,OFF vOS (JamB),RGC,2aw,,-361.4,-841.8,-328.441,-850.001
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6022744572428288,3,17,Franke,2018-10-11,2,1,GCL0,RR,720575940562146387,"34793.0,21772.0,590.0",720575940556798557,,"34793.0,21772.0,660.0",720575940549093588,18,16,34.5735,dAC,38,60,WFAC,AC,,,-361.4,-841.8,-329.428,-832.153
,,,2,18,Franke,2018-10-11,2,1,GCL0,RR,720575940563004369,"35387.0,21656.0,612.0",720575940572503704,,"35387.0,21656.0,622.0",720575940569665033,19,72,155.581,dAC,44,72,ON OS,RGC,72?,,-361.4,-841.8,-335.553,-823.793
,,,2,19,Franke,2018-10-11,2,1,GCL0,RR,720575940538748672,"35439.0,20865.0,656.0",720575940562333849,,"35439.0,20865.0,716.0",720575940562333849,20,14,30.2518,dAC,35,54,Fmini ON,RGC,63,,-361.4,-841.8,-331.685,-815.025
,,,2,20,Franke,2018-10-11,2,1,GCL0,RR,720575940552618508,"36037.0,20199.0,754.0",720575940558828892,"Same cell, Ca field overlap! (02)","36214.0,20171.0,853.0",720575940575784878,21,29,62.6644,Off,9,13,OFF tr. MeRF?,RGC,4on?,,-361.4,-841.8,-332.862,-799.931
,,,2,21,Franke,2018-10-11,2,1,GCL0,RR,720575940579434707,"33645.0,24480.0,456.0",720575940572992408,,"33645.0,24480.0,491.0",720575940556981518,22,13,28.0909,dAC,46,68,SAC,AC,,,-361.4,-841.8,-335.506,-877.984
,,,2,22,Franke,2018-10-11,2,1,GCL0,RR,720575940562795366,"34910.0,23327.0,512.0",720575940559263836,,"34910.0,23327.0,517.0",720575940559263836,23,88,190.154,Off,5,12,OFF tr. alpha,RGC,4ow,,-361.4,-841.8,-340.804,-849.133
,,,2,23,Franke,2018-10-11,2,1,GCL0,RR,720575940562142291,"34980.0,22132.0,541.0",720575940562105497,,"34980.0,22132.0,591.0",720575940556981774,24,10,21.6084,dAC,46,75,SAC,AC,,,-361.4,-841.8,-334.94,-835.185
,,,2,24,Franke,2018-10-11,2,1,GCL0,RR,720575940573173949,"36215.0,20750.0,730.0",720575940557487965,,"36215.0,20750.0,770.0",720575940557487965,25,36,77.7903,Off,3,3,OFF tr. SmRF,RGC,4i?,,-361.4,-841.8,-339.432,-805.377
,,,2,25,Franke,2018-10-11,2,1,GCL0,RR,720575940579433683,"34120.0,24441.0,500.0",720575940553728349,,"34120.0,24441.0,565.0",720575940565136233,26,21,45.3777,On Off,10,14,HD1,RGC,5si,,-361.4,-841.8,-339.77,-870.99
Simone,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5516093234872320,3,26,Franke,2018-10-11,2,1,GCL0,RR,720575940555129442,"34333.0,23947.0,562.0",720575940557540445,,"34333.0,23947.0,627.0",720575940559255173,27,17,36.7343,dAC,46,75,,AC,,,-361.4,-841.8,-338.918,-862.639
Simone,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6401322317250560,2,27,Franke,2018-10-11,2,1,GCL0,RR,720575940556560257,"35613.0,22487.0,602.0",720575940557873245,,"35613.0,22487.0,632.0",720575940557873245,28,53,114.525,Uncertain,32,49,ON OS,RGC,"82n, 82wi, or 82wo",,-361.4,-841.8,-343.15,-834.727
,,,2,28,Franke,2018-10-11,2,1,GCL0,RR,720575940563514313,"36139.0,21242.0,684.0",720575940572458904,,"36139.0,21242.0,744.0",720575940563286071,29,34,73.4686,dAC,42,65,A1,AC,,,-361.4,-841.8,-342.506,-814.26
Jan (1day),https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5947059917029376,,1,29,Franke,2018-10-11,2,1,GCL0,RR,720575940564724866,"34034.0,24921.0,451.0",720575940577072893,,"34034.0,24921.0,501.0",720575940552570381,30,25,54.021,dAC,42,69,A1,AC,,,-361.4,-841.8,-342.584,-879.196
,,,2,30,Franke,2018-10-11,2,1,GCL0,RR,720575940574221509,"36884.0,20356.0,722.0",720575940556297053,"Same cell, Ca field overlap! (03)","36884.0,20356.0,727.0",720575940566406645,31,18,38.8951,Slow On,23,33,PixON,RGC,9n,,-361.4,-841.8,-344.985,-797.864
,,,1,31,Franke,2018-10-11,2,1,GCL0,RR,720575940554290846,"34613.0,24287.0,477.0",720575940572997016,,"34475.0,24319.0,578.0",720575940569717313,32,25,54.021,dAC,34,52,On tr. SmRF,RGC,6sn,,-361.4,-841.8,-346.641,-865.672
Julia,,,1,32,Franke,2018-10-11,2,1,GCL0,RR,720575940579429741,"34560.0,24856.0,448.0",720575940573000344,,"34560.0,24856.0,503.0",720575940554733506,33,17,36.7343,dAC,42,68,,AC,,,-361.4,-841.8,-349.208,-873.967
,,,2,33,Franke,2018-10-11,2,1,GCL0,RR,720575940556338354,"35152.0,24120.0,485.0",720575940551241564,,"35152.0,24120.0,570.0",720575940559231877,34,15,32.4126,On Off,14,20,OFF sus EW1no,RGC,1no,,-361.4,-841.8,-350.522,-859.146
,,,2,34,Franke,2018-10-11,2,1,GCL0,RR,720575940573177797,"36613.0,22004.0,649.0",720575940577583613,,"36613.0,22004.0,674.0",720575940554271002,35,66,142.616,dAC,42,38,ON DS sus,RGC,"7iv,r,d",,-361.4,-841.8,-353.026,-817.902
,,,2,35,Franke,2018-10-11,2,1,GCL0,RR,720575940572981949,"36724.0,21270.0,668.0",720575940572875928,,"36724.0,21270.0,743.0",720575940558909329,36,27,58.3427,dAC,42,69,SAC,AC,,,-361.4,-841.8,-349.749,-806.085
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6046318037303296,3,36,Franke,2018-10-11,2,1,GCL0,RR,720575940564979397,"35347.0,23858.0,550.0",720575940577285272,,"35347.0,23858.0,625.0",720575940567255281,37,17,36.7343,dAC,42,67,WFAC,AC,,,-361.4,-841.8,-351.283,-853.128
,,,2,37,Franke,2018-10-11,2,1,GCL0,RR,720575940563789513,"35782.0,23083.0,585.0",720575940553771357,,"35782.0,23083.0,600.0",720575940582703739,38,44,95.077,On Off,33,50,5to,RGC,5to,,-361.4,-841.8,-353.014,-838.192
,,,2,38,Franke,2018-10-11,2,1,GCL0,RR,720575940555393530,"37333.0,20997.0,702.0",720575940553930589,"Same cell, Ca field overlap! (04)","37333.0,20997.0,752.0",720575940569666057,39,36,77.7903,On Off,34,51,OODS,RGC,"37r,v,c",,-361.4,-841.8,-355.969,-799.456
,,,2,39,Franke,2018-10-11,2,1,GCL0,RR,720575940570684617,"34836.0,25248.0,379.0",720575940573622424,,"34836.0,25248.0,404.0",720575940563208321,40,24,51.8602,dAC,42,65,ON alpha,RGC,8w,,-361.4,-841.8,-355.949,-876.099
,,,2,40,Franke,2018-10-11,2,1,GCL0,RR,720575940564584600,"35126.0,24772.0,470.0",720575940562360985,,"35126.0,24772.0,480.0",720575940573188543,41,54,116.685,On Off,1,1,,RGC,2i or 2o,,-361.4,-841.8,-358.787,-865.946
,,,2,41,Franke,2018-10-11,2,1,GCL0,RR,720575940564970437,"35762.0,23764.0,568.0",720575940553000540,,"35811.0,23716.0,641.0",720575940550090791,42,25,54.021,dAC,42,66,SAC,AC,,,-361.4,-841.8,-356.872,-847.268
,,,2,42,Franke,2018-10-11,2,1,GCL0,RR,720575940545435331,"37175.0,21691.0,695.0",720575940566981685,,"37175.0,21691.0,745.0",720575940574946900,43,28,60.5036,Uncertain,30,41,UHD,RGC,5ti,,-361.4,-841.8,-360.245,-807.518
,,,2,43,Franke,2018-10-11,2,1,GCL0,RR,720575940570685897,"34833.0,25769.0,365.0",720575940557361500,,"34833.0,25769.0,375.0",720575940565001967,44,17,36.7343,dAC,11,71,ON OS,RGC,"82n, 82wi, or 82wo",,-361.4,-841.8,-360.708,-881.49
,,,2,44,Franke,2018-10-11,2,1,GCL0,RR,720575940579446227,"35827.0,24494.0,527.0",720575940577796248,,"35827.0,24494.0,572.0",720575940579478641,45,31,66.9861,dAC,25,35,nNOS-2 AC,AC,,,-361.4,-841.8,-361.495,-856.168
,,,2,45,Franke,2018-10-11,2,1,GCL0,RR,720575940571412669,"36710.0,23076.0,583.0",720575940572572568,,"36710.0,23076.0,593.0",720575940572572568,46,25,54.021,On Off,43,71,HD2,RGC,5so,,-361.4,-841.8,-361.282,-830.687
,,,2,46,Franke,2018-10-11,2,1,GCL0,RR,720575940553108090,"37002.0,22765.0,603.0",720575940577651965,,"37002.0,22765.0,643.0",720575940570193375,47,54,116.685,dAC,40,62,ON OS,RGC,"82n, 82wi, or 82wo",,-361.4,-841.8,-364.912,-821.166
,,,2,47,Franke,2018-10-11,2,1,GCL0,RR,720575940548138586,"35393.0,25756.0,442.0",720575940562439321,,"35393.0,25756.0,477.0",720575940562762959,48,48,103.72,Uncertain,30,41,UHD,RGC,5ti,,-361.4,-841.8,-367.402,-874.17
,,,2,48,Franke,2018-10-11,2,1,GCL0,RR,720575940557301283,"36425.0,23638.0,523.0",720575940559941089,,"36425.0,23638.0,558.0",720575940570532651,49,22,47.5385,On Off,14,20,,RGC,25,,-361.4,-841.8,-363.538,-840.063
,,,2,49,Franke,2018-10-11,2,1,GCL0,RR,720575940545403331,"37843.0,21275.0,687.0",720575940578896237,"Same cell, Ca field overlap! (05)","37843.0,21275.0,747.0",720575940570533675,50,16,34.5735,Uncertain,31,45,Fmini OFF,RGC,2an,,-361.4,-841.8,-364.983,-798.16
,,,2,50,Franke,2018-10-11,2,1,GCL0,RR,720575940564590232,"36276.0,24360.0,508.0",720575940578814616,,"36276.0,24360.0,573.0",720575940555686010,51,26,56.1819,On Off,11,16,"UHD, I think",RGC,5ti,,-361.4,-841.8,-367.11,-849.489
,,,2,51,Franke,2018-10-11,2,1,GCL0,RR,720575940571413949,"36829.0,23632.0,575.0",720575940573577880,,"36829.0,23632.0,645.0",720575940579883701,52,22,47.5385,On Off,13,19,"dAC, separate axons and dendrites (SAD)",AC,,,-361.4,-841.8,-369.485,-834.851
,,,2,52,Franke,2018-10-11,2,1,GCL0,RR,720575940560768001,"37507.0,22052.0,655.0",720575940557582173,,"37507.0,22052.0,690.0",720575940564362484,53,36,77.7903,On Off,27,37,M6-ish,RGC,"915, 85",,-361.4,-841.8,-369.526,-807.541
,,,2,53,Franke,2018-10-11,2,1,GCL0,RR,720575940571151305,"35736.0,26304.0,463.0",720575940548174173,,"35787.0,26389.0,521.0",720575940564815012,54,23,49.6993,dAC,42,66,SAC,AC,,,-361.4,-841.8,-372.968,-880.659
,,,2,54,Franke,2018-10-11,2,1,GCL0,RR,720575940563726978,"36261.0,24878.0,470.0",720575940549790557,,"36261.0,24878.0,475.0",720575940549790557,55,18,38.8951,On Off,14,20,,RGC,2i?,,-361.4,-841.8,-371.69,-856.663
,,,0,55,Franke,2018-10-11,2,1,GCL0,RR,720575940563096545,"36747.0,24328.0,534.0",720575940552991836,,"36747.0,24328.0,584.0",720575940557068642,56,39,84.2728,dAC,37,57,,RGC,,,-361.4,-841.8,-373.424,-842.667
,,,2,56,Franke,2018-10-11,2,1,GCL0,RR,720575940557915777,"37717.0,22693.0,606.0",720575940559269212,,"37717.0,22693.0,661.0",720575940559685404,57,22,47.5385,Fast On,17,23,Fmini ON,RGC,63,,-361.4,-841.8,-374.029,-815.541
,,,2,57,Franke,2018-10-11,2,1,GCL0,RR,720575940548246106,"36268.0,25665.0,459.0",720575940557568093,,"36268.0,25665.0,549.0",720575940570055733,58,24,51.8602,dAC,42,69,SAC,AC,,,-361.4,-841.8,-374.936,-864.768
,,,2,58,Franke,2018-10-11,2,1,GCL0,RR,720575940546527830,"37479.0,23564.0,527.0",720575940572874904,,"37479.0,23564.0,532.0",720575940560975321,59,44,95.077,Fast On,17,25,,RGC,2i or 2o?,,-361.4,-841.8,-377.57,-827.835
,,,1,59,Franke,2018-10-11,2,1,GCL0,RR,720575940555957662,"38359.0,22221.0,670.0",720575940578607981,,"38274.0,22101.0,745.0",720575940575786158,60,20,43.2168,On Off,33,50,,RGC,25?,,-361.4,-841.8,-377.57,-801.376
,,,2,60,Franke,2018-10-11,2,1,GCL0,RR,720575940571290512,"36641.0,25504.0,487.0",720575940575457881,,"36641.0,25504.0,522.0",720575940569667081,61,34,73.4686,Uncertain,33,50,OFF vOS (JAMB),RGC,2aw,,-361.4,-841.8,-380.639,-858.186
,,,2,61,Franke,2018-10-11,2,1,GCL0,RR,720575940571290000,"36912.0,24891.0,527.0",720575940556369757,,"36912.0,24891.0,572.0",720575940550397353,62,24,51.8602,dAC,42,67,,AC,,,-361.4,-841.8,-379.285,-848.537
,,,1,62,Franke,2018-10-11,2,1,GCL0,RR,720575940555967902,"38245.0,22679.0,637.0",720575940558800732,,"38245.0,22679.0,727.0",720575940577341641,63,22,47.5385,dAC,42,70,SAC,AC,,,-361.4,-841.8,-379.975,-809.661
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4903310252310528,3,63,Franke,2018-10-11,2,1,GCL0,RR,720575940571213200,"36649.0,26065.0,464.0",720575940559135068,,"36649.0,26065.0,484.0",720575940559135068,64,18,38.8951,On Off,11,16,dAC SAD,AC,,,-361.4,-841.8,-383.45,-866.055
,,,2,64,Franke,2018-10-11,2,1,GCL0,RR,720575940561723730,"38075.0,23249.0,591.0",720575940552472924,,"38075.0,23249.0,596.0",720575940573474096,65,30,64.8252,On Off,14,20,,RGC,2o?,,-361.4,-841.8,-383.842,-817.349
,,,1,65,Franke,2018-10-11,2,1,GCL0,RR,720575940558155214,"37754.0,24223.0,532.0",720575940557543005,,"37711.0,24129.0,603.0",720575940579481201,66,28,60.5036,dAC,42,66,SAC,AC,,,-361.4,-841.8,-385.34,-834.555
,,,2,66,Franke,2018-10-11,2,1,GCL0,RR,720575940545313494,"36364.0,27113.0,407.0",720575940550934621,,"36364.0,27113.0,422.0",720575940552090129,67,29,62.6644,Uncertain,32,47,OFF vOS (JAMB),RGC,2aw,,-361.4,-841.8,-387.505,-879.867
,,,2,67,Franke,2018-10-11,2,1,GCL0,RR,720575940545971139,"38079.0,23906.0,582.0",720575940553000796,,"38079.0,23906.0,607.0",720575940576340501,68,28,60.5036,dAC,40,62,,AC,,,-361.4,-841.8,-387.807,-824.895
,,,2,68,Franke,2018-10-11,2,1,GCL0,RR,720575940555522718,"38652.0,22641.0,651.0",720575940566667581,,"38608.0,22831.0,734.0",720575940545090389,69,22,47.5385,dAC,42,70,SAC,AC,,,-361.4,-841.8,-386.256,-802.244
,,,2,69,Franke,2018-10-11,2,1,GCL0,RR,720575940557843212,"36994.0,26460.0,443.0",720575940551176028,,"36994.0,26460.0,508.0",720575940548004742,70,32,69.1469,Uncertain,30,41,Fmini ON,RGC,63,,-361.4,-841.8,-390.34,-868.949
,,,2,70,Franke,2018-10-11,2,1,GCL0,RR,720575940557717614,"37756.0,25423.0,481.0",720575940553759325,,"37756.0,25423.0,551.0",720575940567937786,71,125,270.105,Slow On,24,34,ON alpha,RGC,8w,,-361.4,-841.8,-392.54,-846.01
,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6218081748647936,3,71,Franke,2018-10-11,2,1,GCL0,RR,720575940551861895,"38751.0,23195.0,636.0",720575940549795933,,"38751.0,23195.0,671.0",720575940572751392,72,30,64.8252,Off,32,49,ON OS,RGC,72?,,-361.4,-841.8,-390.996,-808.97
,,,2,72,Franke,2018-10-11,2,1,GCL0,RR,720575940557909102,"37454.0,26215.0,476.0",720575940562119321,,"37454.0,26215.0,496.0",720575940569023851,73,27,58.3427,dAC,40,65,A1,AC,,,-361.4,-841.8,-395.427,-860.91
,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5238004118454272,,1,73,Franke,2018-10-11,2,1,GCL0,RR,720575940554724245,"38615.0,23638.0,592.0",720575940557103964,,"38615.0,23638.0,677.0",720575940557103964,74,10,21.6084,dAC,42,65,dAC SAD,AC,,,-361.4,-841.8,-392.564,-816.81
