Start link: ,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6441655398825984,,,Total Tasks:,380,WIP:,54,,,,,,,,,
,,,,Tasks Completed:,30,Need Help:,1,,,,,,,,,
,,,,Tasks Remaining:,0,,,,,,,,,,,
Nuc Coords,Nuc ID,Soma Coords,OG Segment ID (Soma),"Segment ID (Soma, last update 202504110923)",Cell Type,EyeWire1 type (for RGCs),Proofreader,Date Started,Temp Link,Status,Date Completed,Final Link,Final SegID,CA Imaged,Cell Class,Notes
"32653.0,23923.0,553.0",720575940577751704,"32653.0,23923.0,583.0",720575940573597592,720575940551416435,OODS,"37r,v,c",Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6345877695234048,720575940577635688,yes,RGC,
"33159.0,22959.0,606.0",720575940534317101,"33159.0,22959.0,661.0",720575940572538008,720575940559683612,OODS - V - HB9,37d,Jonathan,16.04.2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5340834812657664,First pass,,,,yes,RGC,
"33787.0,21853.0,597.0",720575940554891618,"33787.0,21853.0,677.0",720575940551284060,720575940579479153,SAC,,,,,First pass,,,,yes,AC,
"34131.0,21306.0,627.0",720575940554657378,"34131.0,21306.0,657.0",720575940577801624,720575940550602560,A1,,,,,Neurites cut off,,,,yes,AC,
"34753.0,20187.0,669.0",720575940571117757,"34753.0,20187.0,684.0",720575940556059228,720575940575575823,ON delayed,73,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6585570827436032,720575940555374824,yes,RGC,
"33757.0,22478.0,558.0",720575940562610790,"33757.0,22478.0,608.0",720575940556187228,720575940556187228,,2aw?,,,,First pass,,,,yes,RGC,
"34769.0,21233.0,628.0",720575940562643558,"34769.0,21233.0,678.0",720575940553874269,720575940553874269,OFF,2i or 1ni?,,,,First pass,,,,yes,RGC,
"35359.0,20040.0,704.0",720575940555227789,"35359.0,20040.0,739.0",720575940562140313,720575940562140313,ON DS sus?,"7iv,r,d",,,,First pass,,,,yes,RGC,
"35922.0,19429.0,736.0",720575940552583180,"35922.0,19429.0,811.0",720575940558841948,720575940553129766,ON tr. MeRF,6sw,,,,First pass,,,,yes,RGC,"Same cell, Ca field overlap! (01)"
"33441.0,23770.0,537.0",720575940562919113,"33441.0,23770.0,572.0",720575940579273368,720575940550365861,,3o?,,,,First pass,,,,yes,RGC,Same cell? (01)
"34155.0,21713.0,539.0",720575940554018442,"34155.0,21713.0,614.0",720575940552133724,720575940560547278,MFAC CRH-2 (GBX2 - S5),,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6205510446481408,720575940587194365,yes,AC,
"33441.0,23770.0,537.0",720575940562919113,"33352.0,23818.0,628.0",720575940579273368,720575940550365861,,3i or 2i?,,,,First pass,,,,yes,RGC,Same cell? (01)
"33940.0,23022.0,562.0",720575940549337669,"33940.0,23022.0,632.0",720575940551349340,720575940555602330,SAC,,,,,First pass,,,,yes,AC,
"34529.0,22225.0,556.0",720575940573137160,"34529.0,22225.0,651.0",720575940572507544,720575940560972505,PixON,9n,,,,First pass,,,,yes,RGC,
"35300.0,20508.0,674.0",720575940574202309,"35300.0,20508.0,699.0",720575940567038269,720575940560972761,OFF vOS (JamB),2aw,,,,Neurites cut off,,,,yes,RGC,
"33229.0,24415.0,498.0",720575940563998594,"33229.0,24415.0,503.0",720575940573611416,720575940581289415,A1,,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6056611194863616,720575940557084120,yes,AC,
"34268.0,22688.0,508.0",720575940573136904,"34268.0,22688.0,528.0",720575940563822177,720575940563849127,OFF vOS (JamB),2aw,,,,First pass,,,,yes,RGC,
"34793.0,21772.0,590.0",720575940562146387,"34793.0,21772.0,660.0",720575940556798557,720575940585018134,WFAC,,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6022744572428288,720575940585018134,yes,AC,Maybe WF ON non-spiny sparse?
"35387.0,21656.0,612.0",720575940563004369,"35387.0,21656.0,622.0",720575940572503704,720575940569665033,ON OS,72?,,,,First pass,,,,yes,RGC,
"35439.0,20865.0,656.0",720575940538748672,"35439.0,20865.0,716.0",720575940562333849,720575940562333849,Fmini ON,63,,,,First pass,,,,yes,RGC,
"36037.0,20199.0,754.0",720575940552618508,"36214.0,20171.0,853.0",720575940558828892,720575940576343829,OFF tr. MeRF?,4on?,,,,First pass,,,,yes,RGC,"Same cell, Ca field overlap! (02)"
"33645.0,24480.0,456.0",720575940579434707,"33645.0,24480.0,491.0",720575940572992408,720575940556981518,SAC,,,,,First pass,,,,yes,AC,
"34910.0,23327.0,512.0",720575940562795366,"34910.0,23327.0,517.0",720575940559263836,720575940559263836,OFF tr. alpha,4ow,,,,First pass,,,,yes,RGC,
"34980.0,22132.0,541.0",720575940562142291,"34980.0,22132.0,591.0",720575940562105497,720575940556981774,SAC,,,,,First pass,,,,yes,AC,
"36215.0,20750.0,730.0",720575940573173949,"36215.0,20750.0,770.0",720575940557487965,720575940557487965,OFF tr. SmRF,4i?,,,,First pass,,,,yes,RGC,
"34120.0,24441.0,500.0",720575940579433683,"34120.0,24441.0,565.0",720575940553728349,720575940565136233,HD1,5si,,,,First pass,,,,yes,RGC,
"34333.0,23947.0,562.0",720575940555129442,"34333.0,23947.0,627.0",720575940557540445,720575940559255173,,,Simone,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5516093234872320,720575940559255173,yes,AC,
"35613.0,22487.0,602.0",720575940556560257,"35613.0,22487.0,632.0",720575940557873245,720575940582939259,ON OS,"82n, 82wi, or 82wo",Simone,,,First pass,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6401322317250560,720575940582939259,yes,RGC,
"36139.0,21242.0,684.0",720575940563514313,"36139.0,21242.0,744.0",720575940572458904,720575940563286071,A1,,Simone,,,First pass,,,,yes,AC,
"34034.0,24921.0,451.0",720575940564724866,"34034.0,24921.0,501.0",720575940577072893,720575940556893791,A1,,Jan (2days),,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5930894415101952,WIP,,,,yes,AC,
"36884.0,20356.0,722.0",720575940574221509,"36884.0,20356.0,727.0",720575940556297053,720575940566406645,PixON,9n,,,,First pass,,,,yes,RGC,"Same cell, Ca field overlap! (03)"
"34613.0,24287.0,477.0",720575940554290846,"34475.0,24319.0,578.0",720575940572997016,720575940569717313,On tr. SmRF,6sn,,,,WIP,,,,yes,RGC,
"34560.0,24856.0,448.0",720575940579429741,"34560.0,24856.0,503.0",720575940573000344,720575940554870978,SAD?,,Julia,4/14/2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4555576278253568,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6207628150571008,720575940583636435,yes,AC,
"35152.0,24120.0,485.0",720575940556338354,"35152.0,24120.0,570.0",720575940551241564,720575940582736507,OFF sus EW1no,1no,,,,First pass,,,,yes,RGC,
"36613.0,22004.0,649.0",720575940573177797,"36613.0,22004.0,674.0",720575940577583613,720575940554271002,ON DS sus,"7iv,r,d",,,,First pass,,,,yes,RGC,
"36724.0,21270.0,668.0",720575940572981949,"36724.0,21270.0,743.0",720575940572875928,720575940557062616,SAC,,,,,First pass,,,,yes,AC,
"35347.0,23858.0,550.0",720575940564979397,"35347.0,23858.0,625.0",720575940577285272,720575940566465013,WFAC,,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6046318037303296,720575940570756044,yes,AC,WF ON non-spiny dense?
"35782.0,23083.0,585.0",720575940563789513,"35782.0,23083.0,600.0",720575940553771357,720575940582703739,5to,5to,,,,First pass,,,,yes,RGC,
"37333.0,20997.0,702.0",720575940555393530,"37333.0,20997.0,752.0",720575940553930589,720575940569666057,OODS,"37r,v,c",,,,First pass,,,,yes,RGC,"Same cell, Ca field overlap! (04)"
"34836.0,25248.0,379.0",720575940570684617,"34836.0,25248.0,404.0",720575940573622424,720575940563208321,ON alpha,8w,,,,First pass,,,,yes,RGC,
"35126.0,24772.0,470.0",720575940564584600,"35126.0,24772.0,480.0",720575940562360985,720575940573188543,,2i or 2o,,,,First pass,,,,yes,RGC,
"35762.0,23764.0,568.0",720575940564970437,"35811.0,23716.0,641.0",720575940553000540,720575940557280216,SAC,,,,,First pass,,,,yes,AC,
"37175.0,21691.0,695.0",720575940545435331,"37175.0,21691.0,745.0",720575940566981685,720575940574946900,UHD,5ti,,,,First pass,,,,yes,RGC,
"34833.0,25769.0,365.0",720575940570685897,"34833.0,25769.0,375.0",720575940557361500,720575940565001967,ON OS,"82n, 82wi, or 82wo",,,,First pass,,,,yes,RGC,
"35827.0,24494.0,527.0",720575940579446227,"35827.0,24494.0,572.0",720575940577796248,720575940579478641,nNOS-2 AC,,Dominic,14.04.2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5724153798721536,Complete but neurites cut off,14.04.2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5724153798721536,,yes,AC,all ends hit an edge
"36710.0,23076.0,583.0",720575940571412669,"36710.0,23076.0,593.0",720575940572572568,720575940572572568,HD2,5so,,,,First pass,,,,yes,RGC,
"37002.0,22765.0,603.0",720575940553108090,"37002.0,22765.0,643.0",720575940577651965,720575940570193375,ON OS,"82n, 82wi, or 82wo",,,,First pass,,,,yes,RGC,
"35393.0,25756.0,442.0",720575940548138586,"35393.0,25756.0,477.0",720575940562439321,720575940562762959,UHD,5ti,,,,First pass,,,,yes,RGC,
"36425.0,23638.0,523.0",720575940557301283,"36425.0,23638.0,558.0",720575940559941089,720575940570532651,,25,,,,First pass,,,,yes,RGC,
"37843.0,21275.0,687.0",720575940545403331,"37843.0,21275.0,747.0",720575940578896237,720575940570533675,Fmini OFF,2an,,,,First pass,,,,yes,RGC,"Same cell, Ca field overlap! (05)"
"36276.0,24360.0,508.0",720575940564590232,"36276.0,24360.0,573.0",720575940578814616,720575940555686010,"UHD, I think",5ti,,,,First pass,,,,yes,RGC,
"36829.0,23632.0,575.0",720575940571413949,"36829.0,23632.0,645.0",720575940573577880,720575940579883701,"dAC, separate axons and dendrites (SAD)",,,,,First pass,,,,yes,AC,
"37507.0,22052.0,655.0",720575940560768001,"37507.0,22052.0,690.0",720575940557582173,720575940564362484,M6-ish,"915, 85",,,,First pass,,,,yes,RGC,
"35736.0,26304.0,463.0",720575940571151305,"35787.0,26389.0,521.0",720575940548174173,720575940564815012,SAC,,,,,First pass,,,,yes,AC,
"36261.0,24878.0,470.0",720575940563726978,"36261.0,24878.0,475.0",720575940549790557,720575940549790557,,2i?,,,,First pass,,,,yes,RGC,
"36747.0,24328.0,534.0",720575940563096545,"36747.0,24328.0,584.0",720575940552991836,720575940557068642,,,,,,Neurites cut off,,,,yes,RGC,
"37717.0,22693.0,606.0",720575940557915777,"37717.0,22693.0,661.0",720575940559269212,720575940559685404,Fmini ON,63,,,,First pass,,,,yes,RGC,
"36268.0,25665.0,459.0",720575940548246106,"36268.0,25665.0,549.0",720575940557568093,720575940570055733,SAC,,,,,First pass,,,,yes,AC,
"37479.0,23564.0,527.0",720575940546527830,"37479.0,23564.0,532.0",720575940572874904,720575940582736763,,2i or 2o?,,,,First pass,,,,yes,RGC,
"38359.0,22221.0,670.0",720575940555957662,"38274.0,22101.0,745.0",720575940578607981,720575940575786158,,25?,,,,WIP,,,,yes,RGC,
"36641.0,25504.0,487.0",720575940571290512,"36641.0,25504.0,522.0",720575940575457881,720575940569667081,OFF vOS (JAMB),2aw,,,,First pass,,,,yes,RGC,
"36912.0,24891.0,527.0",720575940571290000,"36912.0,24891.0,572.0",720575940556369757,720575940550397353,,,,,,First pass,,,,yes,AC,
"38245.0,22679.0,637.0",720575940555967902,"38245.0,22679.0,727.0",720575940558800732,720575940565748855,SAC,,,,,WIP,,,,yes,AC,
"36649.0,26065.0,464.0",720575940571213200,"36649.0,26065.0,484.0",720575940559135068,720575940573205951,dAC SAD,,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4657991786692608,720575940553376931,yes,AC,
"38075.0,23249.0,591.0",720575940561723730,"38075.0,23249.0,596.0",720575940552472924,720575940573474096,,2o?,,,,First pass,,,,yes,RGC,
"37754.0,24223.0,532.0",720575940558155214,"37711.0,24129.0,603.0",720575940557543005,720575940555514266,SAC,,,,,WIP,,,,yes,AC,
"36364.0,27113.0,407.0",720575940545313494,"36364.0,27113.0,422.0",720575940550934621,720575940552090129,OFF vOS (JAMB),2aw,,,,First pass,,,,yes,RGC,
"38079.0,23906.0,582.0",720575940545971139,"38079.0,23906.0,607.0",720575940553000796,720575940576340501,,,,,,First pass,,,,yes,AC,
"38652.0,22641.0,651.0",720575940555522718,"38608.0,22831.0,734.0",720575940566667581,720575940573596464,SAC,,,,,First pass,,,,yes,AC,
"36994.0,26460.0,443.0",720575940557843212,"36994.0,26460.0,508.0",720575940551176028,720575940548004742,Fmini ON,63,,,,First pass,,,,yes,RGC,
"37756.0,25423.0,481.0",720575940557717614,"37756.0,25423.0,551.0",720575940553759325,720575940567937786,ON alpha,8w,,,,First pass,,,,yes,RGC,
"38751.0,23195.0,636.0",720575940551861895,"38751.0,23195.0,671.0",720575940549795933,720575940555384040,ON OS,72?,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6218081748647936,720575940557718842,yes,RGC,
"37454.0,26215.0,476.0",720575940557909102,"37454.0,26215.0,496.0",720575940562119321,720575940569023851,A1,,,,,First pass,,,,yes,AC,
"38615.0,23638.0,592.0",720575940554724245,"38615.0,23638.0,677.0",720575940557103964,720575940570158901,dAC SAD,,Jonathan,17.4.2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4526522770653184,First pass,,,,yes,AC,
"39334.0,22692.0,669.0",720575940552362011,"39137.0,22690.0,736.0",720575940559587903,720575940559587903,ON tr. SmRF,6sn,,,,First pass,,,,yes,RGC,
"38328.0,24432.0,547.0",720575940579520723,"38328.0,24432.0,612.0",720575940577258904,720575940579735641,WF mid-IPL ,,Julia,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5715550106812416,First pass,,,,yes,AC,
"36956.0,27719.0,377.0",720575940571195280,"36956.0,27719.0,447.0",720575940566893365,720575940569667593,OFF 1ni or 1no?,"2o, 2i, or 2aw (symmetric)",,,,First pass,,,,yes,RGC,
"37263.0,27145.0,397.0",720575940546820962,"37263.0,27145.0,417.0",720575940551208540,720575940551208540,ON delayed,73,,,,First pass,,,,yes,RGC,
"38727.0,24132.0,572.0",720575940552417307,"38727.0,24132.0,632.0",720575940556869468,720575940563271661,WFAC,,,,,First pass,,,,yes,AC,
"39024.0,23829.0,635.0",720575940551864711,"39024.0,23829.0,670.0",720575940558691125,720575940547756163,Fmini ON,63,,,,First pass,,,,yes,RGC,
"39655.0,23462.0,758.0",720575940552698858,"39655.0,23462.0,808.0",720575940578278808,720575940555347098,OFF vOS (JAMB),2aw,,,,First pass,,,,yes,RGC,"There might be a second cell (old: 77479079850848368, new: 720575940552698858), but unlikely"
"37959.0,26135.0,491.0",720575940568129302,"37959.0,26135.0,511.0",720575940558188381,720575940581166718,WFAC,,,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5891342732361728,First pass,,,,yes,AC,
"37808.0,26812.0,443.0",720575940553551833,"37808.0,26812.0,503.0",720575940572478104,720575940575565583,SAC,,,,,First pass,,,,yes,AC,
"38572.0,25520.0,498.0",720575940568025878,"38572.0,25520.0,583.0",720575940556754524,720575940582902139,SAC,,,,,WIP,,,,yes,AC,
"38777.0,24908.0,566.0",720575940545537608,"38777.0,24908.0,656.0",720575940563742817,720575940570595377,,2i?,,,,WIP,,,,yes,RGC,
"39128.0,24436.0,592.0",720575940581392083,"39128.0,24436.0,677.0",720575940562746593,720575940562746593,SAC,,,,,WIP,,,,yes,AC,
"39546.0,23968.0,581.0",720575940555301525,"39546.0,23968.0,681.0",720575940559634805,720575940576666428,,25?,Greg,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4655351321329664,First pass,,,,yes,RGC,
"38471.0,26192.0,487.0",720575940549780957,"38471.0,26192.0,557.0",720575940576567350,720575940567500429,UHD,5ti,,,,First pass,,,,yes,RGC,
"33871.0,16222.0,920.0",720575940567017021,"33871.0,16222.0,930.0",720575940563188121,720575940557847077,A17,,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4530569703587840,720575940557847077,yes,AC,
"33905.0,15777.0,948.0",720575940553185617,"33905.0,15777.0,988.0",720575940576294296,720575940557047256,,,,,,First pass,,,,yes,AC,
"34436.0,15484.0,1005.0",720575940569147501,"34436.0,15484.0,1050.0",720575940552800349,720575940553376675,OODS,"37r,v,c",,,,First pass,,,,yes,RGC,
"34596.0,14944.0,1030.0",720575940571139451,"34596.0,14944.0,1075.0",720575940548479581,720575940553486217,PixON,9n,,,,First pass,,,,yes,RGC,
"35123.0,14186.0,1087.0",720575940570620539,"35123.0,14186.0,1107.0",720575940572873585,720575940572873585,,,,,,Neurites cut off,,,,yes,RGC,
"33254.0,17467.0,935.0",720575940558911421,"33254.0,17467.0,985.0",720575940563292313,720575940563292313,Fmini ON,63,,,,First pass,,,,yes,RGC,
"33717.0,17146.0,909.0",720575940558936765,"33717.0,17146.0,959.0",720575940576743990,720575940576743990,Fmini OFF,2an,,,,First pass,,,,yes,RGC,
"35357.0,15064.0,1044.0",720575940568788589,"35357.0,15064.0,1094.0",720575940577836184,720575940559692936,EW type 25,25,,,,Neurites cut off,,,,yes,RGC,
"35634.0,14614.0,1050.0",720575940562520657,"35634.0,14614.0,1100.0",720575940549924957,720575940576336314,dAC SAD,,,,,WIP,,,,yes,AC,
"34261.0,17180.0,940.0",720575940555439536,"34261.0,17180.0,990.0",720575940556800348,720575940555530306,SAC,,,,,First pass,,,,yes,AC,
"35820.0,14232.0,1079.0",720575940569162349,"35820.0,14232.0,1139.0",720575940562082969,720575940557811236,,,,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6237734311034880,720575940557811236,yes,AC,
"36472.0,13688.0,1103.0",720575940562664785,"36472.0,13688.0,1168.0",720575940549540189,720575940549540189,A1,,,,,Neurites cut off,,,,yes,AC,
"34802.0,16613.0,933.0",720575940558168373,"34802.0,16613.0,993.0",720575940575817624,720575940561751884,ON OS,"82n, 82wi, or 82wo",,,,First pass,,,,yes,RGC,
"36210.0,13846.0,971.0",720575940573823097,"36210.0,13846.0,1026.0",720575940548229981,720575940557069666,,,,,,Neurites cut off,,,,yes,RGC,
"33904.0,17989.0,865.0",720575940555457712,"33904.0,17989.0,910.0",720575940572600728,720575940563211137,UHD,5ti,,,,First pass,,,,yes,RGC,
"35107.0,16200.0,987.0",720575940558213685,"35107.0,16200.0,1072.0",720575940558215261,720575940536675507,WFAC,,Jonathan,16.4.2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5091496995848192,First pass,,,,yes,AC,
"34348.0,17772.0,884.0",720575940539933604,"34348.0,17772.0,899.0",720575940559132764,720575940573294404,WFAC spiny,,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6500894691557376,720575940557811236,yes,AC,
"34822.0,17179.0,882.0",720575940560843603,"34822.0,17179.0,917.0",720575940555305052,720575940562468691,,,,,,WIP,,,,yes,AC,
"35530.0,16006.0,960.0",720575940573585529,"35572.0,16002.0,1025.0",720575940558254173,720575940572470077,,,,,,Neurites cut off,,,,yes,RGC,
"35862.0,15248.0,990.0",720575940570979195,"35862.0,15248.0,1105.0",720575940577751549,720575940577751549,SAC,,,,,WIP,,,,yes,AC,
"36503.0,14881.0,920.0",720575940562660177,"36503.0,14881.0,940.0",720575940551254620,720575940554576870,ON alpha,8w,,,,First pass,,,,yes,RGC,
"34312.0,18423.0,848.0",720575940561222246,"34235.0,18428.0,930.0",720575940551102301,720575940570333108,WFAC,,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5680091326578688,720575940570333108,yes,AC,
"37099.0,13789.0,1115.0",720575940542772288,"37099.0,13789.0,1215.0",720575940561803394,720575940536675763,,,,,,Neurites cut off,,,,yes,RGC,
"35941.0,15857.0,982.0",720575940573582457,"35941.0,15857.0,1022.0",720575940556257117,720575940560560590,WFAC,,,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6656012133072896,WIP,,,,yes,AC,
"35127.0,16982.0,769.0",720575940543485509,"35127.0,16982.0,829.0",720575940550175837,720575940565173680,OFF tr. SmRF,4i,Greg,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5401493709520896,First pass,,,,yes,RGC,
"37002.0,14487.0,1034.0",720575940559857389,"37002.0,14487.0,1134.0",720575940553988701,720575940563314416,On tr. SmRF,6sn,Greg,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6439447718526976,First pass,,,,yes,RGC,
"33861.0,18451.0,823.0",720575940573659400,"33861.0,18451.0,923.0",720575940553687901,720575940559084387,HD2,5so,,,,First pass,,,,yes,RGC,
"35034.0,17712.0,785.0",720575940540557130,"35034.0,17712.0,880.0",720575940576301464,720575940570492705,,,,,,WIP,,,,yes,AC,
"35354.0,17492.0,793.0",720575940560615961,"35354.0,17492.0,803.0",720575940559256156,720575940559256156,ON DS sus,"7iv,r,d",,,,First pass,,,,yes,RGC,
