Start link: ,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6441655398825984,,,Total Tasks:,380,WIP:,54,,,,,,,,,
"40839.0,37974.0,503.0",720575940550886807,"40839.0,37974.0,528.0",720575940571979161,720575940573722619,dAC MFAC,,,,,First pass,,,,yes,AC,
"41961.0,36489.0,472.0",720575940560471823,"41961.0,36489.0,502.0",720575940577211850,720575940577211850,Fmini OFF,2an,,,,First pass,,,,yes,RGC,
"42629.0,35374.0,488.0",720575940560528911,"42629.0,35374.0,538.0",720575940574539160,720575940565750391,WFAC,,,,,WIP,,,,yes,AC,
"41013.0,38376.0,457.0",720575940550861719,"41013.0,38376.0,482.0",720575940579189757,720575940576320965,PixON,9n,,,,First pass,,,,yes,RGC,
"41506.0,37661.0,463.0",720575940551878109,"41534.0,37440.0,476.0",720575940581666964,720575940553126950,WFAC,,Dominic,22.04.2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4788879572860928,Complete but neurites cut off,22.04.2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4788879572860928,720575940551156651,yes,AC,some neurites hit the edge
"42539.0,36283.0,480.0",720575940560514319,"42539.0,36283.0,485.0",720575940556991069,720575940563649527,,2o or 2i?,,,,First pass,,,,yes,RGC,
"42044.0,37482.0,494.0",720575940540215686,"42044.0,37482.0,534.0",720575940573067097,720575940551407731,OODS,"37r,v,c",,,,First pass,,,,yes,RGC,
"43292.0,35146.0,458.0",720575940546185672,"43472.0,35221.0,429.0",720575940578914045,720575940570534699,,,,,,WIP,,,,yes,RGC,
"41384.0,38952.0,443.0",720575940555812497,"41384.0,38952.0,468.0",720575940567087113,720575940565356290,OFF tr MeRF,4on,,,,First pass,,,,yes,RGC,
"42440.0,36858.0,486.0",720575940569769505,"42440.0,36858.0,511.0",720575940577487961,720575940559470683,SAC,,,,,First pass,,,,yes,AC,
"42946.0,35891.0,471.0",720575940555220113,"42946.0,35891.0,501.0",720575940555436125,720575940561818799,nNOS-2 AC,,,,,First pass,,,,yes,AC,
"41928.0,38259.0,485.0",720575940540201350,"41928.0,38259.0,555.0",720575940572012447,720575940561078922,ON tr. MeRF,6sw,,,,First pass,,,,yes,RGC,
"43409.0,35864.0,476.0",720575940546191816,"43430.0,35926.0,478.0",720575940569713305,720575940560977113,SAC,,,,,First pass,,,,yes,AC,
"42986.0,36495.0,520.0",720575940560745178,"42986.0,36495.0,595.0",720575940579486717,720575940550093351,nNOS-2 AC,,Julia,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6722030998126592,720575940549420770,yes,AC,
"43948.0,35139.0,548.0",720575940546415816,"43948.0,35139.0,598.0",720575940549269084,720575940570535211,WFAC A1-like,,,,,WIP,,,,yes,AC,
"43650.0,35583.0,501.0",720575940549707610,"43650.0,35583.0,571.0",720575940563807841,720575940559694472,dAC SAD?,,,,,WIP,,,,yes,AC,
"42899.0,37188.0,507.0",720575940569767457,"42899.0,37188.0,512.0",720575940578523284,720575940567120459,A17,,Julia,4/14/2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5943271487438848,First pass,,,,yes,AC,
"41993.0,38939.0,514.0",720575940562905165,"41993.0,38939.0,544.0",720575940566769205,720575940584909590,dAC MF,,,,,First pass,,,,yes,AC,
"43261.0,36782.0,502.0",720575940557560738,"43261.0,36782.0,587.0",720575940579071128,720575940561892271,ON spiny WFAC,,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5369583528574976,720575940561892271,yes,AC,
"42108.0,39510.0,503.0",720575940570115606,"42108.0,39510.0,558.0",720575940573327519,720575940557367051,1ni?,1ni?,,,,First pass,,,,yes,RGC,
"42987.0,37753.0,513.0",720575940554560563,"42987.0,37753.0,578.0",720575940572990553,720575940571799809,A1,,,,,First pass,,,,yes,AC,
"43870.0,36306.0,528.0",720575940546608072,"43870.0,36306.0,553.0",720575940582596861,720575940551359937,3i or 3o?,3i or 3o?,,,,First pass,,,,yes,RGC,
"43709.0,36779.0,530.0",720575940556474327,"43709.0,36779.0,565.0",720575940555962972,720575940563422309,dAC SAD,,,,,First pass,,,,yes,AC,
"42497.0,39177.0,467.0",720575940555652497,"42497.0,39177.0,497.0",720575940582684669,720575940582684669,SAC,,,,,WIP,,,,yes,AC,
"44183.0,35907.0,566.0",720575940562304852,"44183.0,35907.0,616.0",720575940569544345,720575940573476912,SAC,,,,,WIP,,,,yes,AC,
"42940.0,38659.0,500.0",720575940555111475,"43063.0,38166.0,528.0",720575940555408894,720575940555408894,,,,,,Dead cell or double,,,,yes,,dead cell
"44153.0,36925.0,492.0",720575940554913790,"44153.0,36925.0,577.0",720575940578982745,720575940559697032,dAC mid-IPL varicose,,Julia,4/15/2025,,Complete,4/15/2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6584015311077376,720575940553414680,yes,AC,
"44487.0,36537.0,566.0",720575940549819482,"44487.0,36537.0,621.0",720575940576762457,720575940576088387,OFF sus alpha,1wt,,,,First pass,,,,yes,RGC,
"42867.0,39674.0,471.0",720575940548994072,"42867.0,39674.0,521.0",720575940569509685,720575940550598464,HD1,5si,,,,First pass,,,,yes,RGC,
"44095.0,37374.0,517.0",720575940552344291,"44095.0,37374.0,552.0",720575940585576189,720575940565189552,dAC WFAC,,Jonathan,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6743957745696768,First pass,,,,yes,AC,
"44027.0,37908.0,479.0",720575940552349667,"44027.0,37908.0,494.0",720575940571740569,720575940567939578,OS RGC? Extremely oriented,2i or 1ni?,,,,First pass,,,,yes,RGC,
"45282.0,35996.0,561.0",720575940567697697,"45282.0,35996.0,661.0",720575940585391613,720575940581077374,OFF tr. alpha,4ow,,,,First pass,,,,yes,RGC,
"43500.0,39178.0,502.0",720575940563322189,"43500.0,39178.0,507.0",720575940577684057,720575940556387277,Fmini ON,63,,,,First pass,,,,yes,RGC,
"44604.0,37329.0,568.0",720575940560823636,"44604.0,37329.0,623.0",720575940576583001,720575940553265446,SAC,,Dominic,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5142947147284480,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5142947147284480,720575940553265446,yes,AC,not all dendrites could be fixed
"43184.0,40192.0,468.0",720575940551372098,"43184.0,40192.0,483.0",720575940568326709,720575940565357570,HD1,5si,,,,First pass,,,,yes,RGC,
"44033.0,38635.0,531.0",720575940551675202,"44033.0,38635.0,541.0",720575940563119969,720575940551410035,ON DS sus,"7iv,r,d",,,,First pass,,,,yes,RGC,
"43503.0,39811.0,480.0",720575940561701193,"43503.0,39811.0,510.0",720575940570970521,720575940551358913,HD2,5so,,,,First pass,,,,yes,RGC,
"44649.0,37955.0,556.0",720575940561952585,"44649.0,37955.0,621.0",720575940577872473,720575940575024633,OFFvOS (JAMB),2aw,,,,First pass,,,,yes,RGC,
"45464.0,36867.0,552.0",720575940566577694,"45464.0,36867.0,577.0",720575940569572249,720575940564774991,5to,5to,,,,First pass,,,,yes,RGC,
"43458.0,41133.0,425.0",720575940568637961,"43458.0,41133.0,445.0",720575940573232217,720575940567939834,SAC,,,,,First pass,,,,yes,AC,
"43694.0,40614.0,457.0",720575940551771543,"43694.0,40614.0,477.0",720575940566976821,720575940554018066,1ni or 1no?,1ni or 1no,,,,First pass,,,,yes,RGC,
"44075.0,39875.0,545.0",720575940568770345,"44075.0,39875.0,580.0",720575940584217142,720575940569025387,UHD,5ti,,,,First pass,,,,yes,RGC,
"46285.0,36395.0,502.0",720575940568124607,"46077.0,36135.0,492.0",720575940556389725,720575940568288880,,,,,,WIP,,,,yes,RGC,"Dark cell, oversegmented"
"45936.0,36745.0,542.0",720575940556059646,"45936.0,36745.0,597.0",720575940564224309,720575940553399320,Fmini OFF,2an,,,,First pass,,,,yes,RGC,
"44035.0,41084.0,456.0",720575940551784087,"44035.0,41084.0,461.0",720575940572387481,720575940547082681,A1,,,,,First pass,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5702028627017728,720575940547082681,yes,AC,
"45892.0,37725.0,520.0",720575940554714534,"45892.0,37725.0,570.0",720575940585938173,720575940572472893,ON tr. MeRF,6sw,,,,First pass,,,,yes,RGC,
"46161.0,37132.0,538.0",720575940554713254,"46161.0,37132.0,613.0",720575940579892884,720575940545197043,dAC WF mid-IPL,,,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5053577333571584,720575940545197043,yes,AC,
"46372.0,16403.0,1111.0",720575940557918517,"46372.0,16403.0,1171.0",720575940578275126,720575940568058106,SAC,,,,,WIP,,,,yes,AC,
"46881.0,15305.0,1061.0",720575940553993901,"46881.0,15305.0,1121.0",720575940577105462,720575940577105462,ON tr. SmRF,6sn,,,,First pass,,,,yes,RGC,
"46893.0,16081.0,1080.0",720575940556558833,"46893.0,16081.0,1085.0",720575940559240501,720575940559240501,ON DS sus,"7iv,r,d",,,,First pass,,,,yes,RGC,
"47660.0,14573.0,1116.0",720575940554089645,"47676.0,14733.0,1177.0",720575940566301310,720575940551485811,SAC,,,,,WIP,,,,yes,AC,
"48155.0,14042.0,1187.0",720575940554091181,"48155.0,14042.0,1267.0",720575940572109681,720575940572109681,SAC,,,,,WIP,,,,yes,AC,
"48405.0,13626.0,1223.0",720575940569291582,"48405.0,13626.0,1233.0",720575940571941745,720575940571941745,,,,,,Neurites cut off,,,,yes,RGC,
"48363.0,13146.0,1183.0",720575940559726921,"48539.0,13113.0,1178.0",720575940559152181,720575940559152181,,,,,,Neurites cut off,,,,yes,RGC,
"47379.0,15230.0,1072.0",720575940556811997,"47379.0,15230.0,1097.0",720575940566027161,720575940566027161,,,,,,Neurites cut off,,,,yes,RGC,
"47658.0,14983.0,1075.0",720575940553775789,"47658.0,14983.0,1090.0",720575940581382966,720575940581382966,,,,,,Neurites cut off,,,,yes,RGC,
"48200.0,14577.0,1101.0",720575940564565598,"48200.0,14577.0,1116.0",720575940565816893,720575940563653879,OODS,"37r,v,c",,,,First pass,,,,yes,RGC,
"46531.0,17546.0,1014.0",720575940572259271,"46531.0,17546.0,1029.0",720575940566618941,720575940566618941,,,,,,Neurites cut off,,,,yes,RGC,
"47623.0,15729.0,1074.0",720575940556810717,"47623.0,15729.0,1119.0",720575940577493245,720575940577493245,Fmini ON probably,63,,,,Neurites cut off,,,,yes,RGC,
"46921.0,17020.0,1034.0",720575940572054983,"46921.0,17020.0,1099.0",720575940558385205,720575940558385205,dAC SAD,,,,,WIP,,,,yes,AC,
"49020.0,13774.0,1264.0",720575940558022965,"49020.0,13774.0,1299.0",720575940566122045,720575940566122045,,,,,,Neurites cut off,,,,yes,RGC,
"49529.0,13172.0,1240.0",720575940552103436,"49529.0,13172.0,1290.0",720575940558541621,720575940549969238,HD1,5si,,,,First pass,,,,yes,RGC,
"48803.0,14433.0,1207.0",720575940554094253,"48803.0,14433.0,1247.0",720575940557403997,720575940563055400,WFAC,,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6755339140595712,720575940563055400,yes,AC,
"48321.0,15238.0,1088.0",720575940556813277,"48321.0,15238.0,1113.0",720575940571094385,720575940571094385,,,,,,Neurites cut off,,,,yes,RGC,
"48203.0,15872.0,1063.0",720575940564635998,"48316.0,15911.0,1061.0",720575940576346166,720575940551463679,gbx2 s5 (CRH2),,,,,First pass,,,,yes,AC,
"48028.0,16300.0,1039.0",720575940566853181,"48028.0,16300.0,1089.0",720575940576324406,720575940576324406,maybe OODS,,,,,Neurites cut off,,,,yes,RGC,
"48854.0,15267.0,1168.0",720575940564780605,"48854.0,15267.0,1183.0",720575940560625213,720575940545190387,PixON,PixON,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5202371643703296,720575940545190387,yes,RGC,
"47054.0,18313.0,984.0",720575940548039242,"47054.0,18313.0,1009.0",720575940565930045,720575940565930045,OFF tr SmRF? HD1?,,Nadine,,,WIP,,,,yes,RGC,
"47395.0,17422.0,1025.0",720575940572267719,"47395.0,17422.0,1030.0",720575940576652854,720575940576652854,,,,,,Neurites cut off,,,,yes,RGC,
"48457.0,15728.0,1071.0",720575940564489822,"48457.0,15728.0,1141.0",720575940562144153,720575940562144153,SAC,,,,,WIP,,,,yes,AC,
"49721.0,14105.0,1200.0",720575940567724063,"49721.0,14105.0,1245.0",720575940577495549,720575940575783598,A1,,,,,Neurites cut off,,,,yes,AC,
"47830.0,17016.0,1060.0",720575940548770122,"47830.0,17016.0,1150.0",720575940567809945,720575940575783342,,,,,,Neurites cut off,,,,yes,AC,
"47422.0,17957.0,976.0",720575940572434631,"47422.0,17957.0,986.0",720575940563292725,720575940563292725,ON delayed,73,,,,Neurites cut off,,,,yes,RGC,
"49563.0,14505.0,1181.0",720575940567723807,"49563.0,14505.0,1266.0",720575940579006461,720575940558030727,,,,,,Neurites cut off,,,,yes,AC,
"48695.0,16254.0,1114.0",720575940564660797,"48695.0,16254.0,1159.0",720575940574328665,720575940561076618,,,,,,First pass,,,,yes,AC,
"48542.0,16671.0,1122.0",720575940531612083,"48542.0,16671.0,1187.0",720575940560497981,720575940567199926,SAC,,,,,First pass,,,,yes,AC,
"50398.0,13931.0,1258.0",720575940554861467,"50398.0,13931.0,1318.0",720575940565958717,720575940568254286,SAC,,,,,WIP,,,,yes,AC,
"48381.0,17093.0,1118.0",720575940548990794,"48381.0,17093.0,1153.0",720575940560654397,720575940560510414,UHD,5ti,,,,First pass,,,,yes,RGC,
"49041.0,15905.0,1117.0",720575940564660541,"49041.0,15905.0,1147.0",720575940577674550,720575940577674550,,,,,,Neurites cut off,,,,yes,RGC,
"48177.0,17714.0,1036.0",720575940572438215,"48177.0,17714.0,1056.0",720575940577658166,720575940577658166,ON alpha,8w,,,,First pass,,,,yes,RGC,
"47949.0,18121.0,977.0",720575940548731722,"47949.0,18121.0,1012.0",720575940571074673,720575940571074673,JamB,2aw,,,,Neurites cut off,,,,yes,RGC,
"50304.0,14568.0,1209.0",720575940555686293,"50304.0,14568.0,1294.0",720575940578332470,720575940578332470,,,,,,Neurites cut off,,,,yes,RGC,
"49851.0,15287.0,1137.0",720575940561358367,"49851.0,15287.0,1192.0",720575940566401853,720575940566401853,M1,1ws,,,,Neurites cut off,,,,yes,RGC,
"48059.0,18784.0,974.0",720575940549086282,"48059.0,18784.0,1009.0",720575940565245025,720575940559468379,,,,,,Neurites cut off,,,,yes,RGC,
"49445.0,16452.0,1150.0",720575940574681654,"49445.0,16452.0,1210.0",720575940557420892,720575940561654957,,,,,,First pass,,,,yes,AC,
"51073.0,14350.0,1201.0",720575940555689621,"51073.0,14350.0,1216.0",720575940572161137,720575940557067618,Fmini OFF,2an,,,,Neurites cut off,,,,yes,RGC,
"49002.0,17725.0,1050.0",720575940566686078,"49002.0,17725.0,1080.0",720575940577723958,720575940562761935,ON transient MeRF,6sw,,,,First pass,,,,yes,RGC,
"48401.0,18527.0,994.0",720575940572673479,"48401.0,18527.0,1059.0",720575940563171993,720575940549156923,,,,,,First pass,,,,yes,AC,
"48672.0,18230.0,1038.0",720575940558011057,"48672.0,18230.0,1108.0",720575940558949941,720575940569716801,,,,,,WIP,,,,yes,AC,
"49648.0,16993.0,1111.0",720575940529212248,"49648.0,16993.0,1126.0",720575940566323261,720575940557067106,UHD,5ti,,,,First pass,,,,yes,RGC,
"50014.0,16189.0,1143.0",720575940562875189,"50014.0,16189.0,1228.0",720575940565963069,720575940555528002,HD1,5so,,,,First pass,,,,yes,RGC,
"50306.0,15738.0,1153.0",720575940561495071,"50306.0,15738.0,1158.0",720575940557259101,720575940573471792,,,,,,WIP,,,,yes,AC,
"48233.0,19424.0,960.0",720575940558035121,"48233.0,19424.0,1020.0",720575940576655158,720575940556980750,OODS,"37r,v,c",,,,Neurites cut off,,,,yes,RGC,
"50719.0,15363.0,1158.0",720575940551443458,"50719.0,15363.0,1203.0",720575940559110709,720575940570495777,SAC,,,,,Neurites cut off,,,,yes,AC,
"48590.0,19028.0,961.0",720575940562362812,"48590.0,19028.0,991.0",720575940558510645,720575940564304605,SAC,,,,,First pass,,,,yes,AC,
"51144.0,14941.0,1166.0",720575940569143153,"51144.0,14941.0,1241.0",720575940561068960,720575940561068960,,,,,,Neurites cut off,,,,yes,RGC,
"49541.0,17740.0,1074.0",720575940569153461,"49541.0,17740.0,1114.0",720575940552360540,720575940560509646,,,,,,First pass,,,,yes,AC,
"48843.0,18779.0,986.0",720575940568328953,"48843.0,18779.0,1006.0",720575940569906009,720575940556649823,,,,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6221302974119936,First pass,,,,yes,AC,
"49035.0,18574.0,995.0",720575940566695806,"49035.0,18574.0,1090.0",720575940577788312,720575940569580313,dAC A1-like,,,,,WIP,,,,yes,AC,
"49267.0,18280.0,1068.0",720575940566697086,"49267.0,18280.0,1128.0",720575940572184177,720575940572184177,,,,,,First pass,,,,yes,AC,
"50308.0,16716.0,1108.0",720575940563769141,"50308.0,16716.0,1153.0",720575940576415542,720575940576415542,,,,,,Neurites cut off,,,,yes,RGC,
"50560.0,16227.0,1125.0",720575940581964854,"50560.0,16227.0,1150.0",720575940565563453,720575940557219452,,,,,,Neurites cut off,,,,yes,RGC,
"50126.0,17313.0,1093.0",720575940574770685,"50126.0,17313.0,1113.0",720575940566008381,720575940555922794,HD2,5si,,,,First pass,,,,yes,RGC,
"50919.0,15976.0,1127.0",720575940549707064,"50919.0,15976.0,1197.0",720575940577357110,720575940577636393,Fmini OFF,2an,,,,First pass,,,,yes,RGC,
"48756.0,19510.0,957.0",720575940568333817,"48756.0,19510.0,1052.0",720575940556325469,720575940569664521,dAC WFAC,,,,,First pass,,,,yes,AC,
"51244.0,15381.0,1151.0",720575940569145457,"51244.0,15381.0,1226.0",720575940565260385,720575940563290864,MFAC,,,,,First pass,,,,yes,AC,
"49499.0,18768.0,1046.0",720575940574002429,"49499.0,18768.0,1121.0",720575940566370877,720575940566370877,,,,,,Neurites cut off,,,,yes,RGC,
"49945.0,18334.0,1068.0",720575940560741700,"49945.0,18334.0,1083.0",720575940565251681,720575940567253745,OFFvOS JAMB,2aw,,,,Neurites cut off,,,,yes,RGC,
"49109.0,19445.0,993.0",720575940566717822,"49109.0,19445.0,1048.0",720575940555425885,720575940562444883,A1,,Dominic,23.04.2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5058371389489152,WIP,,,,yes,AC,
"50306.0,17988.0,1118.0",720575940563695284,"50306.0,17988.0,1183.0",720575940559145781,720575940559145781,SAC,,,,,WIP,,,,yes,AC,
"51164.0,16794.0,1054.0",720575940574408957,"51164.0,16794.0,1129.0",720575940565495613,720575940553485705,SAC,,,,,First pass,,,,yes,AC,
"51902.0,15707.0,1181.0",720575940540844928,"51902.0,15707.0,1226.0",720575940563629621,720575940561818031,ON tr. SmRF or 6t,6sn and 6t,,,,First pass,,,,yes,RGC,
"49358.0,19632.0,923.0",720575940581422902,"49528.0,19425.0,901.0",720575940578270006,720575940581250568,HD2,5so,,,,First pass,,,,yes,RGC,
"50978.0,17293.0,1021.0",720575940574194941,"50640.0,17495.0,1021.0",720575940566253373,720575940551590130,HD1,5si,,,,First pass,,,,yes,RGC,
"51730.0,16134.0,1145.0",720575940574048369,"51704.0,16341.0,1172.0",720575940565524541,720575940572078695,MFAC,,,,,First pass,,,,yes,AC,
"50636.0,18540.0,1039.0",720575940560558660,"50636.0,18540.0,1119.0",720575940566392446,720575940566392446,,,,,,Neurites cut off,,,,yes,RGC,
"51027.0,18199.0,1043.0",720575940560883524,"51092.0,17950.0,1008.0",720575940565539389,720575940566436614,,,,,,Neurites cut off,,,,yes,RGC,"Merger, therefore same OLD IDs (01)"
"49552.0,20182.0,1004.0",720575940574477565,"49470.0,20091.0,1021.0",720575940572492440,720575940579734617,MFAC,,,,,First pass,,,,yes,AC,
"52408.0,16643.0,1120.0",720575940562905653,"52204.0,16756.0,1153.0",720575940564734269,720575940563290352,ON alpha?,8w,,,,First pass,,,,yes,RGC,
"50714.0,19500.0,1004.0",720575940561168196,"50764.0,19493.0,1055.0",720575940565257057,720575940570741708,SAC,,Dominic,15.04.2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6518877837066240,Complete,16.04.2025,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6218479100231680,720575940572501565,yes,AC,
"51103.0,19039.0,1006.0",720575940561165380,"51103.0,19039.0,1066.0",720575940565953597,720575940565953597,UHD,5ti,,,,First pass,,,,yes,RGC,
"52244.0,17402.0,1079.0",720575940574234109,"52244.0,17402.0,1104.0",720575940572294745,720575940555395560,WFAC,,,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5658824594685952,First pass,,,,yes,AC,Same cell? (03)
"52060.0,18272.0,1086.0",720575940560809284,"52060.0,18272.0,1136.0",720575940564857149,720575940573476400,RGC,,,,,Neurites cut off,,,,yes,RGC,
"52244.0,17402.0,1079.0",720575940574234109,"52244.0,17402.0,1104.0",720575940572294745,720575940555395560,,,,,,Dead cell or double,,,,yes,,Same cell? (03)
"50905.0,20131.0,990.0",720575940561170244,"50833.0,20177.0,1011.0",720575940559133557,720575940555564442,,,Dominic,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4610997814820864,Need Help,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4610997814820864,720575940585017878,yes,AC,
"51663.0,18855.0,1068.0",720575940569448885,"51650.0,18886.0,1098.0",720575940566065534,720575940570741452,MFAC,,,,,First pass,,,,yes,AC,
"51146.0,19735.0,1003.0",720575940561162052,"51229.0,19465.0,983.0",720575940578086036,720575940585017878,WFAC,,Dominic,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5921724710256640,Complete but neurites cut off,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5921724710256640,720575940585017878,yes,AC,
"51502.0,19497.0,965.0",720575940569319349,"51431.0,19511.0,994.0",720575940559009845,720575940564308445,PixON,9n,,,,First pass,,,,yes,RGC,